dnsmasq 2.90-2
hostapd 2.11-4
i2c-tools 4.4-4
kvmd 4.66-1
kvmd-fan 0.32-1
kvmd-platform-v2-hdmi-zero2w 4.66-1
kvmd-webterm 0.50-1
python 3.13.2-1
python-acme 3.3.0-1
python-aiofiles 24.1.0-2
python-aiohappyeyeballs 2.5.0-1
python-aiohttp 3.10.11-1
python-aiosignal 1.3.1-8
python-async-lru 2.0.4-4
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-bcrypt 4.2.1-2
python-cbor2 5.6.5-2
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-configargparse 1.5.5-3
python-configobj 5.0.9-5
python-cryptography 44.0.2-1
python-dateutil 2.9.0-6
python-dbus 1.3.2-5
python-dbus-next 0.2.3-6
python-deprecated 1.2.16-1
python-distro 1.9.0-3
python-frozenlist 1.4.1-4
python-hidapi 0.14.0-4
python-idna 3.10-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-josepy 1.14.0-4
python-ldap 3.4.4-3
python-luma-core 2.4.2-2
python-luma-oled 3.13.0-3
python-mako 1.3.9-1
python-markupsafe 2.1.5-3
python-more-itertools 10.6.0-1
python-multidict 6.0.5-4
python-netaddr 1.3.0-1
python-netifaces 0.11.0-7
python-packaging 24.2-3
python-pam 2.0.2-4
python-parsedatetime 2.6-10
python-passlib 1.7.4-10
python-periphery 2.3.0-6
python-pillow 11.1.0-1
python-platformdirs 4.3.6-2
python-psutil 7.0.0-1
python-pyasn1 0.6.0-2
python-pyasn1-modules 0.4.0-2
python-pycparser 2.22-3
python-pyftdi 0.55.4-3
python-pyghmi 1.5.69-2
python-pygments 2.19.1-1
python-pyopenssl 25.0.0-1
python-pyotp 2.9.0-3
python-pyrad 2.4.1-6
python-pyrfc3339 1.1-14
python-pyserial 3.5-7
python-pyserial-asyncio 0.6-6
python-pytz 2025.1-1
python-pyudev 0.24.3-2
python-pyusb 1.2.1-6
python-qrcode 8.0-1
python-raspberry-gpio 0.7.1a4-5
python-requests 2.32.3-4
python-setproctitle 1.3.5-1
python-setuptools 1:75.8.0-1
python-six 1.17.0-1
python-smbus2 0.4.3-3
python-spidev 3.6-6
python-systemd 235-4
python-urllib3 2.3.0-1
python-wheel 0.45.0-3
python-wrapt 1.16.0-4
python-xlib 0.33-4
python-yaml 6.0.2-2
python-yarl 1.13.1-1
python-zstandard 0.23.0-2
qrencode 4.1.1-4
v4l-utils 1.28.1-2
